area,prices
4154,744678.4246575343
214,209674.99999999994
4875,842581.3356164384
1502,384569.52054794517
1402,370990.7534246575
5013,861320.0342465753
9015,1404742.294520548
127,197861.47260273967
1458,378594.8630136986
7958,1261214.7260273974
2154,473103.0821917808
7845,1245870.7191780824
9658,1492053.7671232878
7856,1247364.383561644
4589,803746.0616438356
2563,528640.2397260274
2541,525652.9109589041
1397,370311.81506849313
3179,612285.4452054794
5014,861455.8219178081
7410,1186803.082191781
8520,1337527.397260274
9630,1488251.7123287674
7894,1252524.3150684934
5612,942656.8493150685
3216,617309.5890410959
4598,804968.1506849315
7845,1245870.7191780824
1452,377780.13698630134
6325,1039473.4589041097
4156,744950.0
1254,350894.17808219173
